in s,C1 in V,C2 in V
-1.0829E-05,1.347530E+00,-1.68536E-02
-1.0819E-05,1.348468E+00,-1.34967E-02
-1.0810E-05,1.355922E+00,-3.05865E-02
-1.0800E-05,1.339343E+00,-1.68536E-02
-1.0790E-05,1.338039E+00,-1.44122E-02
-1.0781E-05,1.330135E+00,-1.10553E-02
-1.0771E-05,1.321094E+00,-1.92950E-02
-1.0762E-05,1.314738E+00,-2.24994E-02
-1.0752E-05,1.307651E+00,-3.05865E-02
-1.0742E-05,1.299754E+00,-2.32623E-02
-1.0733E-05,1.283626E+00,-1.92950E-02
-1.0723E-05,1.305087E+00,-1.19708E-02
-1.0714E-05,1.291522E+00,-3.05865E-02
-1.0704E-05,1.271854E+00,-2.32623E-02
-1.0694E-05,1.279674E+00,-2.73822E-02
-1.0685E-05,1.269656E+00,-9.52942E-03
-1.0675E-05,1.264362E+00,-2.08209E-02
-1.0666E-05,1.255885E+00,-2.49408E-02
-1.0656E-05,1.257640E+00,-2.24994E-02
-1.0646E-05,1.246928E+00,-1.76166E-02
-1.0637E-05,1.250507E+00,-2.66193E-02
-1.0627E-05,1.247821E+00,-1.76166E-02
-1.0618E-05,1.230144E+00,-1.68536E-02
-1.0608E-05,1.248027E+00,-2.32623E-02
-1.0598E-05,1.237636E+00,-2.98236E-02
-1.0589E-05,1.242732E+00,-1.02924E-02
-1.0579E-05,1.244113E+00,-2.08209E-02
-1.0570E-05,1.246806E+00,-1.68536E-02
-1.0560E-05,1.247539E+00,-2.00580E-02
-1.0550E-05,1.247127E+00,-8.61389E-03
-1.0541E-05,1.250995E+00,-2.73822E-02
-1.0531E-05,1.258693E+00,-1.19708E-02
-1.0522E-05,1.254138E+00,-1.92950E-02
-1.0512E-05,1.251407E+00,-1.51752E-02
-1.0502E-05,1.256786E+00,-1.76166E-02
-1.0493E-05,1.254092E+00,-5.40955E-03
-1.0483E-05,1.254947E+00,-1.44122E-02
-1.0474E-05,1.276698E+00,-2.41779E-02
-1.0464E-05,1.269160E+00,-2.73822E-02
-1.0454E-05,1.262973E+00,-2.08209E-02
-1.0445E-05,1.279834E+00,-3.15021E-02
-1.0435E-05,1.291644E+00,-2.73822E-02
-1.0426E-05,1.259631E+00,-2.17365E-02
-1.0416E-05,1.298778E+00,-2.24994E-02
-1.0406E-05,1.300121E+00,-1.51752E-02
-1.0397E-05,1.288226E+00,-7.85095E-03
-1.0387E-05,1.313358E+00,-4.12677E-02
-1.0378E-05,1.295146E+00,-1.27338E-02
-1.0368E-05,1.299831E+00,-2.17365E-02
-1.0358E-05,1.324023E+00,-2.24994E-02
-1.0349E-05,1.308467E+00,-2.98236E-02
-1.0339E-05,1.320567E+00,-2.49408E-02
-1.0330E-05,1.333476E+00,-2.32623E-02
-1.0320E-05,1.337634E+00,-2.81451E-02
-1.0310E-05,1.336772E+00,-2.00580E-02
-1.0301E-05,1.347812E+00,-2.00580E-02
-1.0291E-05,1.352008E+00,-2.41779E-02
-1.0282E-05,1.359180E+00,-1.51752E-02
-1.0272E-05,1.359744E+00,-1.76166E-02
-1.0262E-05,1.364917E+00,-1.44122E-02
-1.0253E-05,1.367076E+00,-2.66193E-02
-1.0243E-05,1.368831E+00,-1.92950E-02
-1.0234E-05,1.385364E+00,-2.57037E-02
-1.0224E-05,1.361827E+00,-1.83795E-02
-1.0214E-05,1.374286E+00,-1.76166E-02
-1.0205E-05,1.382960E+00,-2.90607E-02
-1.0195E-05,1.367564E+00,-2.49408E-02
-1.0186E-05,1.382556E+00,-2.66193E-02
-1.0176E-05,1.376201E+00,-1.51752E-02
-1.0166E-05,1.382396E+00,-1.92950E-02
-1.0157E-05,1.385692E+00,-2.81451E-02
-1.0147E-05,1.382716E+00,-1.68536E-02
-1.0138E-05,1.385692E+00,-2.66193E-02
-1.0128E-05,1.391109E+00,-1.76166E-02
-1.0118E-05,1.374492E+00,-1.34967E-02
-1.0109E-05,1.394038E+00,-3.47064E-02
-1.0099E-05,1.375552E+00,-1.34967E-02
-1.0090E-05,1.385242E+00,-1.76166E-02
-1.0080E-05,1.379543E+00,-1.59381E-02
-1.0070E-05,1.372455E+00,-1.44122E-02
-1.0061E-05,1.377589E+00,-3.63849E-02
-1.0051E-05,1.360439E+00,-1.68536E-02
-1.0042E-05,1.368098E+00,-1.34967E-02
-1.0032E-05,1.352214E+00,-1.34967E-02
-1.0022E-05,1.349483E+00,-1.51752E-02
-1.0013E-05,1.344272E+00,-1.59381E-02
-1.0003E-05,1.339664E+00,-1.19708E-02
-9.9936E-06,1.334003E+00,-2.41779E-02
-9.9840E-06,1.326144E+00,-1.51752E-02
-9.9744E-06,1.319629E+00,-1.34967E-02
-9.9648E-06,1.321254E+00,-2.49408E-02
-9.9552E-06,1.311359E+00,-2.41779E-02
-9.9456E-06,1.300647E+00,-2.32623E-02
-9.9360E-06,1.306110E+00,-2.41779E-02
-9.9264E-06,1.279872E+00,-1.34967E-02
-9.9168E-06,1.295070E+00,-2.90607E-02
-9.9072E-06,1.287044E+00,-2.17365E-02
-9.8976E-06,1.271930E+00,-1.34967E-02
-9.8880E-06,1.283542E+00,-2.32623E-02
-9.8784E-06,1.262157E+00,-2.17365E-02
-9.8688E-06,1.253932E+00,-1.68536E-02
-9.8592E-06,1.266597E+00,-3.05865E-02
-9.8496E-06,1.252505E+00,-3.73108E-03
-9.8400E-06,1.259753E+00,-9.52942E-03
-9.8304E-06,1.254543E+00,-2.17365E-02
-9.8208E-06,1.248027E+00,-1.10553E-02
-9.8112E-06,1.259067E+00,-1.83795E-02
-9.8016E-06,1.250384E+00,-1.27338E-02
-9.7920E-06,1.249408E+00,-2.66193E-02
-9.7824E-06,1.255153E+00,-1.83795E-02
-9.7728E-06,1.238696E+00,-2.49408E-02
-9.7632E-06,1.246356E+00,-1.27338E-02
-9.7536E-06,1.254459E+00,-1.44122E-02
-9.7440E-06,1.240939E+00,-1.34967E-02
-9.7344E-06,1.247539E+00,-2.00580E-02
-9.7248E-06,1.258205E+00,-7.08801E-03
-9.7152E-06,1.250674E+00,-2.57037E-02
-9.7056E-06,1.247943E+00,-2.57037E-02
-9.6960E-06,1.254543E+00,-2.08209E-02
-9.6864E-06,1.268352E+00,-1.92950E-02
-9.6768E-06,1.254382E+00,-1.19708E-02
-9.6672E-06,1.284801E+00,-2.98236E-02
-9.6576E-06,1.273723E+00,-2.32623E-02
-9.6480E-06,1.273074E+00,-7.85095E-03
-9.6384E-06,1.292339E+00,-3.39435E-02
-9.6288E-06,1.278613E+00,-2.81451E-02
-9.6192E-06,1.280078E+00,-1.83795E-02
-9.6096E-06,1.307452E+00,-3.39435E-02
-9.6000E-06,1.294093E+00,-1.51752E-02
-9.5904E-06,1.304927E+00,-2.41779E-02
-9.5808E-06,1.311526E+00,-2.90607E-02
-9.5712E-06,1.316249E+00,-1.27338E-02
-9.5616E-06,1.323497E+00,-2.90607E-02
-9.5520E-06,1.319873E+00,-1.92950E-02
-9.5424E-06,1.325984E+00,-2.17365E-02
-9.5328E-06,1.337512E+00,-2.08209E-02
-9.5232E-06,1.330424E+00,-1.92950E-02
-9.5136E-06,1.341136E+00,-1.59381E-02
-9.5040E-06,1.341624E+00,-2.32623E-02
-9.4944E-06,1.340648E+00,-2.00580E-02
-9.4848E-06,1.353313E+00,-2.24994E-02
-9.4752E-06,1.350948E+00,-2.08209E-02
-9.4656E-06,1.354861E+00,-2.73822E-02
-9.4560E-06,1.357951E+00,-2.66193E-02
-9.4464E-06,1.362514E+00,-2.24994E-02
-9.4368E-06,1.378238E+00,-1.83795E-02
-9.4272E-06,1.364268E+00,-2.98236E-02
-9.4176E-06,1.383937E+00,-1.83795E-02
-9.4080E-06,1.383899E+00,-1.27338E-02
-9.3984E-06,1.378116E+00,-1.83795E-02
-9.3888E-06,1.389232E+00,-3.39435E-02
-9.3792E-06,1.380923E+00,-1.44122E-02
-9.3696E-06,1.384227E+00,-1.34967E-02
-9.3600E-06,1.399867E+00,-1.34967E-02
-9.3504E-06,1.385532E+00,-2.57037E-02
-9.3408E-06,1.386546E+00,-2.41779E-02
-9.3312E-06,1.392535E+00,-2.57037E-02
-9.3216E-06,1.382434E+00,-2.24994E-02
-9.3120E-06,1.375835E+00,-1.51752E-02
-9.3024E-06,1.380435E+00,-1.92950E-02
-9.2928E-06,1.373393E+00,-2.98236E-02
-9.2832E-06,1.365527E+00,-1.27338E-02
-9.2736E-06,1.385532E+00,-1.68536E-02
-9.2640E-06,1.367320E+00,-3.05865E-02
-9.2544E-06,1.355022E+00,-2.24994E-02
-9.2448E-06,1.365977E+00,-3.05865E-02
-9.2352E-06,1.352290E+00,-1.83795E-02
-9.2256E-06,1.333194E+00,2.20268E-01
-9.2160E-06,1.312625E+00,1.47546E+00
-9.2064E-06,1.289363E+00,2.45217E+00
-9.1968E-06,1.275233E+00,2.89788E+00
-9.1872E-06,1.314456E+00,3.13073E+00
-9.1776E-06,1.316165E+00,3.19924E+00
-9.1680E-06,1.322887E+00,3.27904E+00
-9.1584E-06,1.343784E+00,3.27737E+00
-9.1488E-06,1.336330E+00,3.30422E+00
-9.1392E-06,1.329768E+00,3.31658E+00
-9.1296E-06,1.323703E+00,3.29537E+00
-9.1200E-06,1.321826E+00,3.31078E+00
-9.1104E-06,1.302722E+00,3.31811E+00
-9.1008E-06,1.291034E+00,3.30682E+00
-9.0912E-06,1.288264E+00,3.31170E+00
-9.0816E-06,1.266841E+00,3.32055E+00
-9.0720E-06,1.276088E+00,3.30422E+00
-9.0624E-06,1.271442E+00,3.29293E+00
-9.0528E-06,1.254016E+00,3.30926E+00
-9.0432E-06,1.263423E+00,3.30926E+00
-9.0336E-06,1.251979E+00,3.32146E+00
-9.0240E-06,1.265414E+00,3.29613E+00
-9.0144E-06,1.254581E+00,3.29934E+00
-9.0048E-06,1.254420E+00,3.30758E+00
-8.9952E-06,1.251773E+00,3.30422E+00
-8.9856E-06,1.254382E+00,3.30102E+00
-8.9760E-06,1.240039E+00,3.29690E+00
-8.9664E-06,1.254825E+00,3.30926E+00
-8.9568E-06,1.250430E+00,3.30926E+00
-8.9472E-06,1.241222E+00,3.30926E+00
-8.9376E-06,1.253322E+00,3.29293E+00
-8.9280E-06,1.246967E+00,3.31002E+00
-8.9184E-06,1.255031E+00,3.29613E+00
-8.9088E-06,1.255679E+00,3.30102E+00
-8.8992E-06,1.250552E+00,3.30102E+00
-8.8896E-06,1.264682E+00,3.31170E+00
-8.8800E-06,1.269328E+00,3.30178E+00
-8.8704E-06,1.274135E+00,3.30422E+00
-8.8608E-06,1.281345E+00,3.30346E+00
-8.8512E-06,1.289119E+00,3.30590E+00
-8.8416E-06,1.295680E+00,3.29446E+00
-8.8320E-06,1.298938E+00,3.30590E+00
-8.8224E-06,1.310748E+00,3.29858E+00
-8.8128E-06,1.318202E+00,3.28957E+00
-8.8032E-06,1.315921E+00,3.30178E+00
-8.7936E-06,1.328670E+00,3.29690E+00
-8.7840E-06,1.340846E+00,3.29201E+00
-8.7744E-06,1.325290E+00,3.28881E+00
-8.7648E-06,1.346957E+00,3.30270E+00
-8.7552E-06,1.355060E+00,3.28072E+00
-8.7456E-06,1.342967E+00,3.29369E+00
-8.7360E-06,1.367610E+00,3.30270E+00
-8.7264E-06,1.354289E+00,3.30025E+00
-8.7168E-06,1.375674E+00,3.28561E+00
-8.7072E-06,1.372249E+00,3.28881E+00
-8.6976E-06,1.367732E+00,3.30514E+00
-8.6880E-06,1.382716E+00,3.29690E+00
-8.6784E-06,1.377177E+00,3.29537E+00
-8.6688E-06,1.377711E+00,3.29201E+00
-8.6592E-06,1.387279E+00,3.29369E+00
-8.6496E-06,1.387607E+00,3.29446E+00
-8.6400E-06,1.394160E+00,3.29781E+00
-8.6304E-06,1.388095E+00,3.29690E+00
-8.6208E-06,1.391025E+00,3.29781E+00
-8.6112E-06,1.410251E+00,3.29049E+00
